공공기관명,lat,lon
화성시청,37.1993267,126.8312715
동부출장소,37.2087157,127.0358949
동탄출장소,37.1972428,127.0968468
봉담읍,37.219975,126.9500149
우정읍,37.0901638,126.8163733
향남읍,37.1321845,126.9204283
남양읍,37.2115784,126.8240602
매송면,37.2524179,126.910065
비봉면,37.2338463,126.8735861
정남면,37.1601163,126.9714131
진안동,37.2133365,127.034976
병점1동,37.2068603,127.0372421
병점2동,37.2115719,127.0431713
반월동,37.2331585,127.0606011
기배동,37.2241599,126.9848763
화산동,37.2060296,127.0146172
동탄1동,37.2064618,127.0719504
동탄2동,37.1969248,127.0722782
동탄3동,37.2099595,127.0586782
동탄4동,37.1998011,127.1122864
동탄5동,37.209948,127.1038409
동탄6동,37.1913019,127.0902026
진안도서관,37.2132549,127.0395351
동탄복합문화센터도서관,37.2000798,127.0774226
병점도서관,37.2117625,127.0480762
두빛나래어린이도서관,37.2094583,127.0549001
봉담도서관,37.2194855,126.9490498
둥지나래어린이도서관,37.1280831,126.9241695
남양도서관,37.2088526,126.8240626
송산도서관,37.2170109,126.7391278
태안도서관,37.205864,127.0140042
정남도서관,37.1683414,126.9830277
화성국민체육센터,37.2205933,126.9520351
화성종합경기타운,37.1204501,126.9153462
화성남부국민체육센터,37.0879539,126.8158304
화성시남부종합사회복지관,37.1304161,126.9195953
나래울종합사회복지관,37.2051731,127.0516172
여울림종합사회복지관,37.2130488,126.7322657
남부노인복지관,37.1281438,126.9335234
서부노인복지관,37.1989261,126.8290441
화성시아르딤복지관,37.1364995,126.9207021
역말 문화회관,37.2153187,126.9626318
노작홍사용문학관,37.2063997,127.0791308
역사박물관,37.1334553,126.929026
제암리3.1운동순국기념관,37.1261791,126.8918265
유앤아이센터,37.2031615,127.0333407
외국인 복지센터,37.0870036,126.9072222
화성시동탄청소년문화의집,37.2033385,127.0601538
화성시자원봉사센터,37.1256842,126.9179566
우리꽃식물원,37.115999,126.882824
화성따복품마루,37.1612155,126.9032794
전곡항마리나,37.1859007,126.651015
동탄중앙이음터,37.1990932,127.111167
화성그린환경센터 주민편익시설,37.151478,126.9381919
늘봄이음터,37.2175611,127.1095261
다원이음터,37.2105302,127.104617
동탄7동,37.1705023,127.1104143
동탄8동,37.1623177,127.1053527
동탄목동이음터,37.1895483,127.1244879
사회적경제홍보관,37.1668876,127.1051388
서연이음터,37.1608015,127.1100978
송린이음터,37.276943,126.8223653
호연이음터,37.1628806,127.104777
화성시어린이문화센터,37.2123704,126.9607148
치동고등학교,37.2076057,127.0916951
와우고등학교,37.21952636,126.9668641
새봄초등학교,37.20146282,127.0297732
동탄목동초등학교,37.18938961,127.1243164
청림초등학교,37.17458716,127.1113568
새솔초등학교,37.2890807,126.8190155
화성반월중학교,37.22388567,127.0542861
정현초등학교,37.17144705,127.1132706
한율초등학교,37.18641561,127.1226079
송린초등학교,37.27823129,126.8241504
봉담중학교,37.21655105,126.9533521
동탄초등학교,37.18903472,127.0911507
행정초등학교,37.12664265,126.9236168
세정초등학교,37.16678823,127.1260411
한울초등학교,37.12696147,126.9178538
푸른중학교,37.20235319,127.056597
마산초등학교,37.23180131,126.6918993
송화초등학교,37.20184656,127.0396665
내리숲초등학교,37.22568963,126.9239771
정현고등학교,37.17352234,127.1114038
하길고등학교,37.1118639,126.9105458
이산고등학교,37.1909686,127.0872534
하길초등학교,37.11560646,126.9040759
송린중학교,37.27681304,126.822267
동탄목동중학교,37.18861063,127.1264225
한백고등학교,37.20763155,127.1133605
동탄중앙고등학교,37.20125793,127.1104241
예솔초등학교,37.19655044,127.1193973
화성청계초등학교,37.199192,127.1021055
화성반월고등학교,37.22471178,127.0550943
동탄중학교,37.19901116,127.1090809
화원초등학교,37.11170675,126.9190641
양감초등학교,37.08148848,126.951662
방교초등학교,37.17326405,127.1015231
정림초등학교,37.1530421,127.0116502
송산중학교,37.21535671,126.7306439
서연중학교,37.16088657,127.1102152
안화고등학교,37.2119228,127.0484625
수현중학교,37.22638096,126.9508227
늘봄초등학교,37.21736028,127.1098102
홍익디자인고등학교,37.2167924,126.9796299
새솔고등학교,37.27338862,126.8293429
왕배초등학교,37.18017972,127.1135952
무봉초등학교,37.20298743,127.1168058
봉담초등학교,37.22280569,126.9473597
화성신동초등학교,37.17490244,127.1310568
안화중학교,37.21111875,127.0485705
두레자연중학교,37.05935325,126.7957492
활초초등학교,37.17879002,126.8250998
팔탄초등학교,37.16005653,126.9023219
푸른초등학교,37.20238958,127.0552901
두레자연고등학교,37.05938617,126.7957736
한백중학교,37.20656172,127.1141301
효행초등학교,37.21596526,126.9682075
화성반월초등학교,37.22359053,127.0592312
하길중학교,37.11225847,126.9088459
갈천초등학교,37.12724576,126.9804858
화남초등학교,37.16385863,127.0960756
진안중학교,37.2165232,127.0378176
기안초등학교,37.22536277,126.9821274
숲속초등학교,37.20611415,127.060485
발안바이오과학고등학교,37.13293438,126.9170045
진안초등학교,37.21700472,127.040545
석우초등학교,37.20927868,127.0681992
한백초등학교,37.20836252,127.1147183
방교중학교,37.17474632,127.1014114
창의고등학교,37.18003972,127.120726
다원중학교,37.21050721,127.1048231
상신초등학교,37.09909078,126.8983829
동탄중앙초등학교,37.19928404,127.1112669
비봉초등학교,37.23701249,126.8690057
향남중학교,37.12873445,126.9277544
신백중학교,37.20343745,126.8302503
대양초등학교,37.20031947,126.8217315
기안중학교,37.22434165,126.9753192
와우중학교,37.2191393,126.9660071
화성세정중학교,37.16716681,127.1247594
이솔초등학교,37.16322375,127.109722
화성벌말초등학교,37.2025813,127.0379586
병점고등학교,37.20585454,127.0437159
삼괴중학교,37.08982064,126.8222924
서연초등학교,37.15976339,127.1137726
치동초등학교,37.20655283,127.0915676
영천초등학교,37.20570766,127.1045574
아인초등학교,37.20083859,127.1052936
이산중학교,37.19116497,127.0891727
수영초등학교,37.23617759,126.9542831
청원초등학교,37.18820787,126.7608922
청림중학교,37.17164271,127.1113514
우정초등학교,37.08151771,126.8003518
송산고등학교,37.2164646,126.7382371
이솔고등학교,37.16650771,127.1111377
청목초등학교,37.19577115,127.1174309
능동초등학교,37.21331507,127.058872
화성고등학교,37.13902926,126.9064904
솔빛중학교,37.19618958,127.0722732
능동중학교,37.21224018,127.0614267
동화초등학교,37.21532013,126.9613628
반송고등학교,37.19276804,127.0777778
팔탄초등학교대방분교장,37.16190364,126.8701572
제암초등학교,37.13115334,126.9021135
반석초등학교,37.1936879,127.0783219
동탄국제고등학교,37.18920635,127.0783391
향일고등학교,37.12928624,126.9178966
화산초등학교,37.21142627,127.0135239
예당고등학교,37.20845778,127.0802397
서연고등학교,37.16081906,127.1114322
정남초등학교,37.1678223,126.9841516
안용중학교,37.20588892,127.0190498
학동초등학교,37.20528356,127.0660513
해운초등학교,37.14005466,126.7037872
화성화수초등학교,37.10913579,126.7970297
화성금곡초등학교,37.19863407,127.0662175
발안중학교,37.13284524,126.9187019
여울초등학교,37.19510443,127.0889469
정남중학교,37.1651297,126.9786516
기산초등학교,37.22460078,127.0507334
동탄고등학교,37.20414063,127.0603836
마도초등학교,37.20418423,126.7726627
봉담고등학교,37.21786869,126.9538902
서신초등학교,37.17011249,126.7078399
청룡초등학교,37.20084555,126.8886257
고정초등학교,37.23771628,126.738112
구봉초등학교,37.20565996,127.0448126
안녕초등학교,37.20589222,127.0085343
도이초등학교,37.13263324,126.9261309
치동중학교,37.20853778,127.0916964
병점중학교,37.210361,127.0400539
화성동화중학교,37.21386594,126.9623034
솔빛초등학교,37.1967436,127.0737903
예당초등학교,37.21058745,127.0752137
기산중학교,37.219205,127.0524467
배양초등학교,37.21885531,126.9887553
화성장안초등학교,37.08604329,126.823874
비봉고등학교,37.23724717,126.8726119
송라초등학교,37.27306194,126.8886245
화성매송초등학교,37.24980641,126.9282436
사창초등학교,37.09200273,126.9730915
태안초등학교,37.21065951,127.0408656
석우중학교,37.20830479,127.0704255
예당중학교,37.20806531,127.0792785
동양초등학교,37.20699234,126.8221898
화성월문초등학교,37.11888442,126.8726984
비봉중학교,37.23724717,126.8726901
상봉초등학교,37.21816941,126.954942
화성장안초등학교석포분교장,37.1312127,126.8407081
서경초등학교,37.21701887,127.0508398
발안초등학교,37.13041863,126.9123884
나루고등학교,37.18656401,127.0719398
송산초등학교,37.21463742,126.7319598
노진초등학교,37.05160265,126.8091907
병점초등학교,37.21024362,127.0338907
반송초등학교,37.19076668,127.070177
수현초등학교,37.22752589,126.950317
서신중학교,37.1695636,126.7005959
남양중학교,37.20792368,126.8215994
수기초등학교,37.20162367,126.9813231
율목초등학교,37.23705501,127.0643495
호연초등학교,37.16277708,127.1046985
장안여자중학교,37.07765669,126.8163354
안화초등학교,37.21284997,127.0473692
화도중학교,37.20499973,126.7752047
남양고등학교,37.2079709,126.8234064
와우초등학교,37.22010434,126.9719098
예원초등학교,37.21116575,127.076189
반송중학교,37.19024001,127.0710854
능동고등학교,37.21390891,127.0575058
향남초등학교,37.1196974,126.9429182
장명초등학교,37.05658023,126.8521592
동학중학교,37.23298711,127.0581592
남양초등학교,37.21038035,126.8155734
석천초등학교,37.05515175,126.7887413
갈담초등학교,37.17514004,126.932909
향남고등학교,37.12888636,126.9262361
신남초등학교,37.19138969,126.8177628
동학초등학교,37.23308253,127.0594727
다원초등학교,37.21241845,127.1109577
청계중학교,37.19945672,127.1031575
한마음초등학교,37.20859344,127.0563591
골마을 우남퍼스트빌3차 지하주차장 1층,37.1985212,127.0481869
송골마을 우남퍼스트빌2차 지하주차장 1층,37.1983086,127.0498655
아이리스프라자 지하주차장1층,37.2096149,126.8191953
우림그린빌리지 지하주차장1층,37.2040878,126.8038793
대광파인밸리1차아파트 지하주차장2층,37.1943669,126.8360122
아이리스오피스텔 지하주차장2층,37.2045781,126.820741
대광파인밸리골드2차아파트 지하주차장2층,37.1978923,126.8179608
남양아이파크 지하주차장2층,37.2066437,126.8324564
남양우림필유아파트 지하주차장2층,37.2081803,126.8321188
동탄역 동원로얄듀크비스타 3차 모든 동의 지하 2층,37.1963944,127.0889655
동탄역신미주아파트 모든 동의 지하 1층,37.1905173,127.0914201
동탄푸른마을 모아미래도 지하주차장 1층,37.2033513,127.0543719
센트럴파크뷰 지하주차장 2~1층,37.2017836,127.0612064
동탄역 반도 유보라 아이비파크 7차 모든동의 지하2층,37.2030411,127.0890722
동탄나루마을동탄역U.BORA여울숲2.0 지하주차장 1층,37.1915166,127.0783452
동탄린더스트라우스더레이크 아파트 지하주차장 지하2~3층,37.1713172,127.1049823
동탄센트럴자이아파트 지하주차장 1층,37.20652,127.101907
동탄2 롯데캐슬 아파트 지하주차장 1층,37.1585643,127.1093939
동탄2 아이파크A99블럭아파트 지하주차장 1층,37.1620183,127.1205895
시범호반써밋아파트 지하주차장 1층,37.1978618,127.1097364
시범계룡리슈빌아파트 지하주차장 1층,37.2026689,127.1048329
동탄솔빛마을 서해그랑블 지하주차장 1층,37.1977329,127.0701857
포스코더샵아파트 지하주차장 2~1층,37.1994909,127.0694772
동탄나루마을동탄역U.BORA여울숲1.0 지하주차장 1층,37.1938454,127.0794303
삼부르네상스아파트 지하주차장 1층,37.2079142,127.0716056
롯데캐슬아파트 지하주차장 2~1층,37.2101735,127.073521
신일유토빌아파트 지하주차장 1층,37.2082892,127.0757778
대우푸르지오아파트 지하주차장 1층,37.209813,127.0786992
우미린제일풍경채아파트 지하주차장 1층,37.2122597,127.0773379
동탄나루마을 신도브래뉴 지하주차장 1층,37.1928033,127.0752395
동탄나루마을 한화꿈에그린 우림필유 지하주차장 1층,37.1947902,127.0768051
동탄솔빛마을신도브래뉴 지하주차장 1층,37.1963843,127.0748946
동탄솔빛마을 쌍용예가 지하주차장 1층,37.19486,127.0721443
동탄솔빛마을경남아너스빌 지하주차장 1층,37.1983041,127.0731879
반도유보라10차(1단지) 아파트 지하주차장 지하1~3층,37.1670328,127.1302019
e편한세상동탄 아파트 지하주차장 지하 1~4층,37.1920303,127.1269268
신안인스빌 리베라1차 지하주차장 1층,37.1940271,127.1178139
롯데캐슬 알바트로스 지하주차장 1층,37.195699,127.1132083
동탄 대원칸타빌 포레지움 지하주차장 2층,37.1957077,127.1213903
동탄2신도시LH4단지아파트 지하주차장 1층,37.2059439,127.1214677
상록리슈빌아파트 지하주차장 1층,37.2055462,127.1089917
동탄퍼스트파크아파트 지하주차장 1층,37.2102035,127.1097759
동탄숲속마을 자연앤경남아너스빌 5블럭 지하주차장 1층,37.2081087,127.0593866
능동역 리체 더 포레스트 지하주차장 1층,37.2100392,127.0503139
동탄숲속마을 모아미래도 2단지 지하주차장 1층,37.2075262,127.0515861
동탄숲속마을 자연앤데시앙아파트 지하주차장 1층,37.2071082,127.0542359
숲속마을 광명메이루즈아파트 지하주차장 1층,37.2086634,127.0577655
동탄숲속마을 모아미래도 1단지 지하주차장 1층,37.2064277,127.0577274
한화꿈에그린아파트 지하주차장 1층,37.2076247,127.0673341
케이씨씨스위첸아파트 지하주차장 1층,37.2094877,127.0689786
호반센트럴포레 아파트(호반3차) 지하주차장 지하 1층,37.1803644,127.1169449
동탄능동마을 주공아파트 지하주차장 1층(7-3단지),37.2137031,127.0574573
동탄능동마을 주공아파트(지하주차장 1층)(7-1단지),37.2171301,127.0586313
동탄 센트럴 포레스트 지하주차장 1층,37.1966919,127.0674356
우남퍼스트빌아파트 지하주차장 2~1층,37.2001106,127.0663363
월드메르디앙반도유보라아파트 지하주차장 2~1층,37.2024729,127.0657646
금호어울림아파트 지하주차장 2~1층,37.2056282,127.066714
동탄나루마을 한화꿈에그린아파트 지하주차장 1층,37.1910923,127.0728524
동탄새강마을 휴먼시아2차 지하주차장 1층,37.1935105,127.0693401
동탄능동마을 주공아파트 지하주차장 1층(7-4단지),37.211345,127.0613138
참누리아파트2단지 지하주차장 1~2층,37.2198054,127.0534343
참누리아파트1단지 지하주차장 1층,37.2199606,127.0503727
행림마을 삼성래미안2차 지하1층,37.2232903,127.0510808
화성 태안푸르지오 지하주차장 1층,37.2277039,127.0444374
동탄아이파크아파트 지하주차장 1층,37.2065761,127.0703133
KCC스위첸아파트 지하주차장 1층,37.2019582,127.1185113
마도면 문화센터 지하1층,37.2049822,126.7702991
휴먼시아 아파트 지하주차장 1층,37.2664001,126.8799499
메타역 롯데캐슬 아파트 지하주차장 2~1층,37.2009599,127.0700453
삼성래미안아파트 지하주차장 3~1층,37.2008437,127.0684906
병점 한신아파트 지하주차장 1~2층,37.2029498,127.0430538
안화동마을 주공5단지아파트 지하주차장 1층,37.2102875,127.0468614
대창그린아파트 지하주차장 1층,37.2063713,127.0385088
병점 주공1단지아파트 지하주차장 1층,37.2073859,127.0402236
안화동마을 주공8단지아파트 지하주차장 1층,37.2149258,127.047333
안화동마을 주공7단지아파트 지하주차장 1층,37.2135923,127.0491097
다정마을 신한에스빌 1단지 지하주차장 1층,37.2095805,127.0387725
다정마을 신한에스빌 2단지 지하주차장 1층,37.2085548,127.0395053
병점역센트럴뷰 아파트 지하주차장 1층,37.2101896,127.0433343
진안골마을 주공10단지 지하주차장 1층,37.2160729,127.0422443
진안골마을 주공12단지 지하주차장 1층,37.217775,127.041155
월드메르디앙2차아파트 지하주차장 1층,37.2139491,127.0352601
남수원두산아파트 지하주차장 1층,37.2050574,127.0422357
월드메르디앙1차아파트 지하주차장 1층,37.2156276,127.0362182
화남1차아파트 지하주차장 1층~2층,37.2131362,127.036724
화남2차아파트 지하주차장 1층,37.2122965,127.0370995
병점 임광그대가아파트 지하주차장 1층,37.2015999,127.0424067
"동화마을 동일하이빌 지하주차장 1,2층",37.2163377,126.9564474
양지마을 쌍용예가 지하주차장 1층,37.2418941,126.9531093
"동남메리트 수정마을 지하주차장 1,2,3층",37.2230878,126.9511441
호수마을 동문굿모닝힐 지하주차장 1층,37.2180269,126.9517371
"한신아파트 지하주차장 1,2층",37.2168171,126.9496084
수성효성아파트 지하주차장 1층,37.2163791,126.9744978
"다온마을쌍용스윗닷홈 지하주차장 1,2층",37.2106669,126.9703938
"신명아파트 지하주차장 1,2층",37.2129643,126.9730893
해오름마을 봉담그대가1단지 지하주차장1층,37.2152952,126.9747809
"신일 우남 클래식타운 지하주차장 1,2층",37.2262778,126.9702604
"신일해피트리2차 지하주차장 1,2층",37.2159563,126.9786339
천산스카이빌 아파트 전체 동의 지하주차장 1층,37.2357835,126.8648568
서신면행정복지센터 지하1층,37.1662107,126.7088664
송산면행정복지센터 지하 1층,37.2178749,126.738985
대방 노블랜드2차 아파트(지하1층),37.289857,126.8177573
요진 Y시티 아파트(지하1층),37.2870796,126.8210768
대방 노블랜드1차 아파트(지하1층),37.2860111,126.819177
이지더원 레이크빌 아파트(지하1층),37.2840041,126.8230015
더 펠리체 휴먼빌 아파트(지하1층),37.2801946,126.8241867
반도 유보라 아이파크 아파트(지하1층),37.2801297,126.8218483
새솔동 행정복지센터(지하1층),37.2812059,126.8187549
양감면 행정복지센터 지하주차장 1층,37.0818625,126.9460528
반달마을 대우푸르지오 지하1층,37.2329202,127.0674396
신영통현대아파트 4단지 지하1~2층,37.2334071,127.0617495
신영통현대아파트 3단지 지하1~2층,37.2315633,127.0605934
신영통현대아파트 2단지 지하1~2층,37.2315367,127.0562345
반달마을 두산위브 2단지 지하1~2층,37.234918,127.0646868
반달마을 두산위브 1단지 지하1~2층,37.2368543,127.0667179
신영통현대아파트 1단지 지하1~2층,37.2342718,127.0596504
기산아파트 지하 1층,37.0838651,126.8150848
금광임대아파트 지하 1층,37.0822906,126.8096948
기안마을풍성신미주(지하1층),37.2214075,126.987371
장안면 행정복지센터 A동 지하1층,37.0795363,126.831368
근형심포니아파트 전체 동의 지하주차장 1층,37.1340328,127.0114478
송화마을 우남퍼스트빌3차아파트 지하주차장 1층,37.1985819,127.0417207
병점역 한일타운아파트 지하주차장 1~2층,37.1991301,127.0385322
팔탄면행정복지센터 지하 1층,37.1620622,126.9048367
병점역성호플레르빌아파트 지하주차장 1층,37.199806,127.0248297
화성발안 우림필유 지하주차장 1층,37.1293313,126.9030431
서봉마을 모아엘가 지하주차장 1층,37.11273,126.9133709
서봉마을 사랑으로 부영3단지 지하주차장 1층,37.1182444,126.9131199
서봉마을 아파트 1단지 지하주차장 1층,37.1201784,126.9138732
서봉마을 아파트 2단지 지하주차장 1층,37.1195945,126.9169583
오색마을 사랑으로 부영9단지 지하주차장 1층,37.112557,126.9184848
오색마을 사랑으로 부영10단지 지하주차장 1층,37.1113622,126.9215073
오색마을 사랑으로 부영11단지 지하주차장 1층,37.1104581,126.9171501
한우물마을 휴먼시아6단지 지하주차장 1층,37.1241495,126.9184711
복사꽃마을 휴먼시아7단지 지하주차장 1층,37.1339881,126.9256033
화성파크드림아파트 지하주차장 1층,37.126941,126.9283621
살구꽃마을 풍림아이원 지하주차장 1층,37.1293431,126.9288456
상록하늘채아파트 지하주차장 1층,37.1320128,126.9252202
한국아델리움아파트 지하주차장 1층,37.1315806,126.9288946
한우물마을 휴먼시아5단지 지하주차장 1층,37.1243817,126.9157038
신명스카이뷰아파트 지하주차장 1층,37.1272049,126.916106
에일린의 뜰 아파트 지하주차장 1층,37.1270195,126.9193874
신영지웰아파트 지하주차장 1층,37.1268685,126.9218945
한일베라체아파트 지하주차장 1층,37.1269672,126.9256689
향남시범 넓은들마을 우미린 지하주차장 1층,37.1290032,126.9162668
향남지웰2차아파트 지하주차장 1층,37.1287622,126.9196072
제일오투그란데아파트 지하주차장 1층,37.1285778,126.9223378
대방노블랜드아파트 지하주차장 1층,37.130152,126.9253007
남수원현대아파트 지하주차장 1층,37.2062347,127.0103433
우남블루존아파트 지하주차장 1층,37.2091107,127.0085666
동문굿모닝힐아파트 지하주차장 1층,37.2041373,127.021603
신미주아파트 지하주차장 1~2층,37.2120357,127.0515145
신일해피트리(지하1층),37.223398,126.977464
