시도명,시군구명,합계
서울특별시,종로구,173
서울특별시,중구,"1,133"
서울특별시,용산구,58
서울특별시,성동구,870
서울특별시,광진구,147
서울특별시,동대문구,169
서울특별시,중랑구,385
서울특별시,성북구,69
서울특별시,강북구,98
서울특별시,도봉구,116
서울특별시,노원구,121
서울특별시,은평구,52
서울특별시,서대문구,37
서울특별시,마포구,89
서울특별시,양천구,125
서울특별시,강서구,674
서울특별시,구로구,"1,179"
서울특별시,금천구,"3,966"
서울특별시,영등포구,841
서울특별시,동작구,28
서울특별시,관악구,52
서울특별시,서초구,188
서울특별시,강남구,222
서울특별시,송파구,428
서울특별시,강동구,77
부산광역시,중구,31
부산광역시,서구,105
부산광역시,동구,52
부산광역시,영도구,644
부산광역시,부산진구,143
부산광역시,동래구,105
부산광역시,남구,178
부산광역시,북구,77
부산광역시,해운대구,243
부산광역시,사하구,"1,433"
부산광역시,금정구,384
부산광역시,강서구,"4,550"
부산광역시,연제구,90
부산광역시,수영구,51
부산광역시,사상구,"2,022"
부산광역시,기장군,"1,001"
대구광역시,중구,160
대구광역시,동구,390
대구광역시,서구,"1,019"
대구광역시,남구,42
대구광역시,북구,"2,059"
대구광역시,수성구,58
대구광역시,달서구,"2,780"
대구광역시,달성군,"2,037"
대구광역시,군위군,189
인천광역시,중구,129
인천광역시,동구,230
인천광역시,남구,4
인천광역시,미추홀구,"1,026"
인천광역시,연수구,343
인천광역시,남동구,"5,479"
인천광역시,부평구,"1,697"
인천광역시,계양구,593
인천광역시,서구,"4,123"
인천광역시,,2
인천광역시,강화군,251
인천광역시,옹진군,23
광주광역시,동구,134
광주광역시,서구,378
광주광역시,남구,125
광주광역시,북구,"1,180"
광주광역시,광산구,"2,952"
대전광역시,동구,414
대전광역시,중구,137
대전광역시,서구,194
대전광역시,유성구,"1,755"
대전광역시,대덕구,"1,420"
울산광역시,중구,55
울산광역시,,1
울산광역시,남구,603
울산광역시,동구,23
울산광역시,북구,670
울산광역시,울주군,"1,784"
세종특별자치시, ,861
경기도,수원시 장안구,50
경기도,수원시 권선구,852
경기도,수원시 팔달구,50
경기도,수원시 영통구,379
경기도,성남시 수정구,252
경기도,성남시 중원구,"2,645"
경기도,성남시 분당구,263
경기도,의정부시,270
경기도,안양시 만안구,620
경기도,안양시 동안구,"1,151"
경기도,부천시 원미구,"1,653"
경기도,부천시 소사구,186
경기도,부천시 원미구,2
경기도,부천시 오정구,"1,606"
경기도,부천시 오정구,10
경기도,광명시,707
경기도,평택시,"2,401"
경기도,동두천시,235
경기도,안산시 상록구,445
경기도,안산시 단원구,"6,947"
경기도,고양시 덕양구,325
경기도,고양시 일산동구,840
경기도,고양시 일산서구,199
경기도,과천시,22
경기도,구리시,146
경기도,남양주시,"2,545"
경기도,오산시,304
경기도,시흥시,"6,562"
경기도,군포시,"1,640"
경기도,의왕시,713
경기도,하남시,742
경기도,용인시 처인구,"2,033"
경기도,용인시 기흥구,593
경기도,용인시 수지구,74
경기도,파주시,"5,012"
경기도,이천시,"1,255"
경기도,안성시,"2,252"
경기도,김포시,"7,808"
경기도,화성시,"12,488"
경기도,광주시,"2,525"
경기도,양주시,"2,833"
경기도,포천시,"3,654"
경기도,여주시,783
경기도,여주군,2
경기도,연천군,213
경기도,가평군,164
경기도,양평군,170
강원도,춘천시,1
충청북도,청주시 상당구,173
충청북도,청주시 서원구,580
충청북도,청주시 흥덕구,"1,471"
충청북도,청주시 청원구,"1,407"
충청북도,충주시,843
충청북도,제천시,412
충청북도,청원군,15
충청북도,보은군,191
충청북도,옥천군,450
충청북도,영동군,159
충청북도,증평군,145
충청북도,진천군,"1,248"
충청북도,괴산군,332
충청북도,음성군,"2,380"
충청북도,단양군,109
충청남도,천안시,3
충청남도,천안시 동남구,"1,237"
충청남도,천안시 서북구,"2,401"
충청남도,공주시,593
충청남도,보령시,489
충청남도,아산시,"2,351"
충청남도,서산시,471
충청남도,논산시,850
충청남도,계룡시,93
충청남도,당진시,"1,017"
충청남도,금산군,942
충청남도,연기군,28
충청남도,부여군,171
충청남도,서천군,252
충청남도,청양군,144
충청남도,홍성군,415
충청남도,예산군,457
충청남도,태안군,114
충청남도,당진군,8
전라남도,목포시,440
전라남도,여수시,689
전라남도,순천시,708
전라남도,나주시,833
전라남도,광양시,612
전라남도,담양군,673
전라남도,곡성군,115
전라남도,구례군,59
전라남도,고흥군,235
전라남도,보성군,183
전라남도,화순군,349
전라남도,장흥군,200
전라남도,강진군,169
전라남도,해남군,437
전라남도,영암군,536
전라남도,무안군,310
전라남도,함평군,296
전라남도,영광군,246
전라남도,장성군,570
전라남도,완도군,281
전라남도,진도군,99
전라남도,신안군,79
경상북도,포항시 남구,856
경상북도,포항시 북구,401
경상북도,경주시,"2,173"
경상북도,김천시,583
경상북도,안동시,364
경상북도,구미시,"2,891"
경상북도,영주시,303
경상북도,영천시,"1,133"
경상북도,상주시,295
경상북도,문경시,311
경상북도,경산시,"2,524"
경상북도,의성군,153
경상북도,청송군,29
경상북도,영양군,25
경상북도,영덕군,142
경상북도,청도군,199
경상북도,고령군,936
경상북도,성주군,"1,060"
경상북도,칠곡군,"1,355"
경상북도,예천군,87
경상북도,봉화군,81
경상북도,울진군,158
경상북도,울릉군,15
경상남도,창원시,2
경상남도,창원시 의창구,"1,310"
경상남도,창원시 성산구,"1,726"
경상남도,창원시 마산합포구,408
경상남도,창원시 마산회원구,890
경상남도,창원시 진해구,270
경상남도,진주시,"1,267"
경상남도,통영시,173
경상남도,사천시,546
경상남도,김해시,"6,818"
경상남도,밀양시,518
경상남도,거제시,159
경상남도,양산시,"2,424"
경상남도,의령군,204
경상남도,함안군,"2,053"
경상남도,창녕군,498
경상남도,고성군,219
경상남도,남해군,75
경상남도,하동군,159
경상남도,산청군,136
경상남도,함양군,126
경상남도,거창군,182
경상남도,합천군,126
제주도,남제주군,1
제주특별자치도,제주시,580
제주특별자치도,서귀포시,184
강원특별자치도,춘천시,688
강원특별자치도,원주시,"1,057"
강원특별자치도,강릉시,449
강원특별자치도,동해시,294
강원특별자치도,태백시,102
강원특별자치도,속초시,150
강원특별자치도,삼척시,106
강원특별자치도,홍천군,181
강원특별자치도,횡성군,256
강원특별자치도,영월군,164
강원특별자치도,평창군,122
강원특별자치도,정선군,102
강원특별자치도,철원군,114
강원특별자치도,화천군,53
강원특별자치도,양구군,71
강원특별자치도,인제군,97
강원특별자치도,고성군,92
강원특별자치도,양양군,99
전북특별자치도,전주시 완산구,296
전북특별자치도,전주시 덕진구,"1,045"
전북특별자치도,군산시,"1,300"
전북특별자치도,익산시,"1,697"
전북특별자치도,정읍시,450
전북특별자치도,남원시,403
전북특별자치도,김제시,873
전북특별자치도,완주군,770
전북특별자치도,진안군,144
전북특별자치도,무주군,42
전북특별자치도,장수군,102
전북특별자치도,임실군,118
전북특별자치도,순창군,141
전북특별자치도,고창군,194
전북특별자치도,부안군,210
,,1
